Código de Entidad;Descripción de Entidad;Fecha de Información;Nombre completo del plazo fijo;Nombre corto del plazo fijo;Denominación;Monto mínimo a invertir;Plazo mínimo a invertir;Canal de constitución;Tasa efectiva anual mínima;Territorio de validez de la oferta;Más información
29;BANCO DE LA CIUDAD DE BUENOS AIRES;2026-06-24;PLAZO FIJO INTRANSFERIBLE  POR HOMEBANKING;PLAZO FIJO HB;Pesos;100;30 días;Home banking;18,39;Provincia de Córdoba;0
29;BANCO DE LA CIUDAD DE BUENOS AIRES;2026-06-24;PLAZO FIJO INTRANSFERIBLE UVAS;PLAZO FIJO UVAS;UVA;100;90 días;Ventanilla de sucursal;,00;Provincia de Salta;0
29;BANCO DE LA CIUDAD DE BUENOS AIRES;2026-06-24;PLAZO FIJO INTRANSFERIBLE UVAS;PLAZO FIJO UVAS;UVA;100;90 días;Ventanilla de sucursal;,00;Provincia de Buenos Aires;0
29;BANCO DE LA CIUDAD DE BUENOS AIRES;2026-06-24;PLAZO FIJO INTRANSFERIBLE UVAS;PLAZO FIJO UVAS;UVA;100;180 días;Home banking;,00;Provincia de Buenos Aires;0
29;BANCO DE LA CIUDAD DE BUENOS AIRES;2026-06-24;PLAZO FIJO INTRANSFERIBLE  POR HOMEBANKING;PLAZO FIJO HB;Pesos;100;90 días;Home banking;18,69;Provincia de Córdoba;0
29;BANCO DE LA CIUDAD DE BUENOS AIRES;2026-06-24;PLAZO FIJO INTRANSFERIBLE  POR HOMEBANKING;PLAZO FIJO HB;Pesos;100;90 días;Home banking;18,69;Provincia de Buenos Aires;0
29;BANCO DE LA CIUDAD DE BUENOS AIRES;2026-06-24;PLAZO FIJO INTRANSFERIBLE UVAS;PLAZO FIJO UVAS;UVA;100;90 días;Ventanilla de sucursal;,00;Provincia de Córdoba;0
29;BANCO DE LA CIUDAD DE BUENOS AIRES;2026-06-24;PLAZO FIJO INTRANSFERIBLE  POR HOMEBANKING;PLAZO FIJO HB;Pesos;100;30 días;Home banking;18,39;Provincia de Buenos Aires;0
29;BANCO DE LA CIUDAD DE BUENOS AIRES;2026-06-24;PLAZO FIJO INTRANSFERIBLE UVAS;PLAZO FIJO UVAS;UVA;100;180 días;Home banking;,00;Ciudad Autónoma de Buenos Aires;0
34;BANCO PATAGONIA S.A.;2026-06-25;PLAZO FIJO TRADICIONAL;PF TRADICIONAL;Pesos;1000;90 días;Electrónico;16,99;Todo el territorio nacional;
34;BANCO PATAGONIA S.A.;2026-06-25;PLAZO FIJO UVA PREC;PLAZO FIJO UVA PREC;UVA;10000;180 días;Electrónico;1,00;Todo el territorio nacional;
34;BANCO PATAGONIA S.A.;2026-06-25;PLAZO FIJO UVA PREC;PLAZO FIJO UVA PREC;UVA;10000;180 días;Home banking;1,00;Todo el territorio nacional;
34;BANCO PATAGONIA S.A.;2026-06-25;PLAZO FIJO RENTA MENSUAL;PLAZOFIJORENTA;Pesos;10000;180 días;Electrónico;17,73;Todo el territorio nacional;
34;BANCO PATAGONIA S.A.;2026-06-25;PLAZO FIJO TRADICIONAL;PF TRADICIONAL;Pesos;1000;30 días;Home banking;17,23;Todo el territorio nacional;
34;BANCO PATAGONIA S.A.;2026-06-25;PLAZO FIJO TRADICIONAL;PF TRADICIONAL;Dólares estadounidenses;500;30 días;Home banking;,20;Todo el territorio nacional;
34;BANCO PATAGONIA S.A.;2026-06-25;PLAZO FIJO TRADICIONAL;PF TRADICIONAL;Dólares estadounidenses;500;90 días;Electrónico;,20;Todo el territorio nacional;
34;BANCO PATAGONIA S.A.;2026-06-25;PLAZO FIJO TRADICIONAL;PF TRADICIONAL;Pesos;1000;90 días;Línea telefónica;16,99;Todo el territorio nacional;
34;BANCO PATAGONIA S.A.;2026-06-25;PLAZO FIJO TRADICIONAL;PF TRADICIONAL;Dólares estadounidenses;500;30 días;Electrónico;,20;Todo el territorio nacional;
34;BANCO PATAGONIA S.A.;2026-06-25;PLAZO FIJO TRADICIONAL;PF TRADICIONAL;Dólares estadounidenses;500;90 días;Línea telefónica;,20;Todo el territorio nacional;
34;BANCO PATAGONIA S.A.;2026-06-25;PLAZO FIJO UVA PREC;PLAZO FIJO UVA PREC;UVA;10000;180 días;Línea telefónica;1,00;Todo el territorio nacional;
34;BANCO PATAGONIA S.A.;2026-06-25;PLAZO FIJO TRADICIONAL;PF TRADICIONAL;Dólares estadounidenses;500;90 días;Ventanilla de sucursal;,20;Todo el territorio nacional;
34;BANCO PATAGONIA S.A.;2026-06-25;PLAZO FIJO TRADICIONAL;PF TRADICIONAL;Pesos;1000;30 días;Electrónico;17,23;Todo el territorio nacional;
34;BANCO PATAGONIA S.A.;2026-06-25;PLAZO FIJO TRADICIONAL;PF TRADICIONAL;Dólares estadounidenses;500;30 días;Ventanilla de sucursal;,20;Todo el territorio nacional;
34;BANCO PATAGONIA S.A.;2026-06-25;PLAZO FIJO RENTA MENSUAL;PLAZOFIJORENTA;Dólares estadounidenses;10000;180 días;Electrónico;,20;Todo el territorio nacional;
34;BANCO PATAGONIA S.A.;2026-06-25;PLAZO FIJO TRADICIONAL;PF TRADICIONAL;Euros;10000;180 días;Electrónico;,05;Todo el territorio nacional;
34;BANCO PATAGONIA S.A.;2026-06-25;PLAZO FIJO RENTA MENSUAL;PLAZOFIJORENTA;Pesos;10000;180 días;Home banking;17,73;Todo el territorio nacional;
34;BANCO PATAGONIA S.A.;2026-06-25;PLAZO FIJO RENTA MENSUAL;PLAZOFIJORENTA;Dólares estadounidenses;10000;180 días;Home banking;,20;Todo el territorio nacional;
34;BANCO PATAGONIA S.A.;2026-06-25;PLAZO FIJO TRADICIONAL;PF TRADICIONAL;Dólares estadounidenses;500;30 días;Línea telefónica;,20;Todo el territorio nacional;
34;BANCO PATAGONIA S.A.;2026-06-25;PLAZO FIJO RENTA MENSUAL;PLAZOFIJORENTA;Dólares estadounidenses;10000;180 días;Línea telefónica;,20;Todo el territorio nacional;
34;BANCO PATAGONIA S.A.;2026-06-25;PLAZO FIJO TRADICIONAL;PF TRADICIONAL;Euros;10000;180 días;Línea telefónica;,05;Todo el territorio nacional;
34;BANCO PATAGONIA S.A.;2026-06-25;PLAZO FIJO TRADICIONAL;PF TRADICIONAL;Dólares estadounidenses;500;90 días;Home banking;,20;Todo el territorio nacional;
34;BANCO PATAGONIA S.A.;2026-06-25;PLAZO FIJO TRADICIONAL;PF TRADICIONAL;Pesos;1000;30 días;Línea telefónica;17,23;Todo el territorio nacional;
34;BANCO PATAGONIA S.A.;2026-06-25;PLAZO FIJO RENTA MENSUAL;PLAZOFIJORENTA;Dólares estadounidenses;10000;180 días;Ventanilla de sucursal;,20;Todo el territorio nacional;
34;BANCO PATAGONIA S.A.;2026-06-25;PLAZO FIJO TRADICIONAL;PF TRADICIONAL;Pesos;1000;90 días;Home banking;16,99;Todo el territorio nacional;
34;BANCO PATAGONIA S.A.;2026-06-25;PLAZO FIJO UVA PREC;PLAZO FIJO UVA PREC;UVA;10000;180 días;Ventanilla de sucursal;1,00;Todo el territorio nacional;
34;BANCO PATAGONIA S.A.;2026-06-25;PLAZO FIJO RENTA MENSUAL;PLAZOFIJORENTA;Pesos;10000;180 días;Ventanilla de sucursal;11,31;Todo el territorio nacional;
34;BANCO PATAGONIA S.A.;2026-06-25;PLAZO FIJO TRADICIONAL;PF TRADICIONAL;Pesos;1000;30 días;Ventanilla de sucursal;12,68;Todo el territorio nacional;
34;BANCO PATAGONIA S.A.;2026-06-25;PLAZO FIJO TRADICIONAL;PF TRADICIONAL;Euros;10000;180 días;Ventanilla de sucursal;,05;Todo el territorio nacional;
34;BANCO PATAGONIA S.A.;2026-06-25;PLAZO FIJO TRADICIONAL;PF TRADICIONAL;Pesos;1000;90 días;Ventanilla de sucursal;11,46;Todo el territorio nacional;
34;BANCO PATAGONIA S.A.;2026-06-25;PLAZO FIJO RENTA MENSUAL;PLAZOFIJORENTA;Pesos;10000;180 días;Línea telefónica;17,73;Todo el territorio nacional;
34;BANCO PATAGONIA S.A.;2026-06-25;PLAZO FIJO TRADICIONAL;PF TRADICIONAL;Euros;10000;180 días;Home banking;,05;Todo el territorio nacional;
44;BANCO HIPOTECARIO S.A.;2026-06-30;PLAZO FIJO UVA;PFUVA;UVA;10000;90 días;Ventanilla de sucursal;1,00;Todo el territorio nacional;
44;BANCO HIPOTECARIO S.A.;2026-06-30;PLAZO FIJO TRADICIONAL;PFTRAD;Dólares estadounidenses;100;30 días;Terminal de autoservicio;1,51;Todo el territorio nacional;
44;BANCO HIPOTECARIO S.A.;2026-06-30;PLAZO FIJO TRADICIONAL;PFTRAD;Dólares estadounidenses;100;30 días;Línea telefónica;1,51;Todo el territorio nacional;
44;BANCO HIPOTECARIO S.A.;2026-06-30;PLAZO FIJO UVA;PFUVA;UVA;10000;90 días;Home banking;1,00;Todo el territorio nacional;
44;BANCO HIPOTECARIO S.A.;2026-06-30;PLAZO FIJO WEB;PFWEB;Pesos;5000;30 días;Electrónico;22,54;Todo el territorio nacional;PLAZO FIJO PARA NO CLIENTES
44;BANCO HIPOTECARIO S.A.;2026-06-30;PLAZO FIJO TRADICIONAL;PFTRAD;Pesos;1000;30 días;Terminal de autoservicio;22,54;Todo el territorio nacional;
44;BANCO HIPOTECARIO S.A.;2026-06-30;PLAZO FIJO TRADICIONAL;PFTRAD;Dólares estadounidenses;100;30 días;Home banking;1,51;Todo el territorio nacional;
44;BANCO HIPOTECARIO S.A.;2026-06-30;PLAZO FIJO TRADICIONAL;PFTRAD;Pesos;1000;30 días;Home banking;22,54;Todo el territorio nacional;
44;BANCO HIPOTECARIO S.A.;2026-06-30;PLAZO FIJO TRADICIONAL;PFTRAD;Pesos;1000;30 días;Electrónico;22,54;Todo el territorio nacional;
44;BANCO HIPOTECARIO S.A.;2026-06-30;PLAZO FIJO TRADICIONAL;PFTRAD;Dólares estadounidenses;100;30 días;Ventanilla de sucursal;,10;Todo el territorio nacional;
44;BANCO HIPOTECARIO S.A.;2026-06-30;PLAZO FIJO TRADICIONAL;PFTRAD;Dólares estadounidenses;100;30 días;Electrónico;1,51;Todo el territorio nacional;
44;BANCO HIPOTECARIO S.A.;2026-06-30;PLAZO FIJO UVA;PFUVA;UVA;10000;180 días;Ventanilla de sucursal;1,00;Todo el territorio nacional;
44;BANCO HIPOTECARIO S.A.;2026-06-30;PLAZO FIJO C PAGO PERIOD;PFPAGPERIOD;Dólares estadounidenses;1000;180 días;Ventanilla de sucursal;,10;Todo el territorio nacional;
44;BANCO HIPOTECARIO S.A.;2026-06-30;PLAZO FIJO TRADICIONAL;PFTRAD;Pesos;1000;30 días;Línea telefónica;22,54;Todo el territorio nacional;
44;BANCO HIPOTECARIO S.A.;2026-06-30;PLAZO FIJO TRADICIONAL;PFTRAD;Pesos;1000;30 días;Ventanilla de sucursal;10,47;Todo el territorio nacional;
44;BANCO HIPOTECARIO S.A.;2026-06-30;PLAZO FIJO PRECANCELABLE;PFPRECAN;Pesos;1000;180 días;Ventanilla de sucursal;10,25;Todo el territorio nacional;
44;BANCO HIPOTECARIO S.A.;2026-06-30;PLAZO FIJO UVA;PFUVA;UVA;10000;180 días;Home banking;1,00;Todo el territorio nacional;
44;BANCO HIPOTECARIO S.A.;2026-06-30;PLAZO FIJO C PAGO PERIODICO DE INTERESES;PFPAGPERIOD;Pesos;1000;180 días;Ventanilla de sucursal;10,25;Todo el territorio nacional;
45;BANCO DE SAN JUAN S.A.;2026-06-05;PLAZO FIJO TRADICIONAL;PLAZO FIJO TRADICIONAL;Pesos;5000;30 días;Home banking;18,98;Todo el territorio nacional;NO APLICA
45;BANCO DE SAN JUAN S.A.;2026-06-05;PLAZO FIJO UVA PRECANCELABLE;PLAZO FIJO UVA;UVA;25000;180 días;Ventanilla de sucursal;2,00;Todo el territorio nacional;NO APLICA
45;BANCO DE SAN JUAN S.A.;2026-06-05;PLAZO FIJO UVA PRECANCELABLE;PLAZO FIJO UVA;UVA;25000;90 días;Home banking;1,00;Todo el territorio nacional;NO APLICA
45;BANCO DE SAN JUAN S.A.;2026-06-05;PLAZO FIJO UVA PRECANCELABLE;PLAZO FIJO UVA;UVA;25000;180 días;Home banking;2,00;Todo el territorio nacional;NO APLICA
45;BANCO DE SAN JUAN S.A.;2026-06-05;PLAZO FIJO TRADICIONAL;PLAZO FIJO TRADICIONAL;Pesos;5000;90 días;Home banking;18,69;Todo el territorio nacional;NO APLICA
45;BANCO DE SAN JUAN S.A.;2026-06-05;PLAZO FIJO UVA PRECANCELABLE;PLAZO FIJO UVA;UVA;25000;90 días;Ventanilla de sucursal;1,00;Todo el territorio nacional;NO APLICA
65;BANCO MUNICIPAL DE ROSARIO;2026-06-29;PLAZO FIJO TRADICIONAL;PLAZO FIJO;Pesos;1000;30 días;Ventanilla de sucursal;19,56;Todo el territorio nacional;
65;BANCO MUNICIPAL DE ROSARIO;2026-06-29;PLAZO FIJO TRADICIONAL;PLAZO FIJO;Pesos;1000;90 días;Ventanilla de sucursal;19,41;Todo el territorio nacional;
72;BANCO SANTANDER ARGENTINA S.A.;2026-06-30;PLAZOFIJOTRADICIONAL;PFTRAD60DARG;Pesos;500;60 días;Home banking;17,11;Todo el territorio nacional;0
72;BANCO SANTANDER ARGENTINA S.A.;2026-06-30;PLAZOFIJOTRADICIONAL;PFTRAD90DUSD;Dólares estadounidenses;500;90 días;Ventanilla de sucursal;,05;Todo el territorio nacional;0
72;BANCO SANTANDER ARGENTINA S.A.;2026-06-30;PLAZOFIJOTRADICIONAL;PFTRAD60DARG;Pesos;500;60 días;Línea telefónica;17,11;Todo el territorio nacional;0
72;BANCO SANTANDER ARGENTINA S.A.;2026-06-30;PLAZOFIJOTRADICIONAL;PFTRAD180DARG;Pesos;500;180 días;Línea telefónica;16,65;Todo el territorio nacional;0
72;BANCO SANTANDER ARGENTINA S.A.;2026-06-30;PLAZOFIJOTRADICIONAL;PFTRAD365DUSD;Dólares estadounidenses;500;360 días o más;Ventanilla de sucursal;,05;Todo el territorio nacional;0
72;BANCO SANTANDER ARGENTINA S.A.;2026-06-30;PLAZOFIJOPRECANCELABLE;PFPREC;Pesos;5000;180 días;Línea telefónica;19,37;Todo el territorio nacional;0
72;BANCO SANTANDER ARGENTINA S.A.;2026-06-30;PLAZOFIJOTRADICIONAL;PFTRAD180DUSD;Dólares estadounidenses;500;180 días;Ventanilla de sucursal;,05;Todo el territorio nacional;0
72;BANCO SANTANDER ARGENTINA S.A.;2026-06-30;PLAZOFIJOPRECANCELABLE;PFPREC;Pesos;5000;360 días o más;Home banking;18,50;Todo el territorio nacional;0
72;BANCO SANTANDER ARGENTINA S.A.;2026-06-30;PLAZOFIJOUVA;PFUVA;UVA;500;90 días;Home banking;,00;Todo el territorio nacional;0
72;BANCO SANTANDER ARGENTINA S.A.;2026-06-30;PLAZOFIJOUVA;PFUVA;UVA;500;180 días;Ventanilla de sucursal;,00;Todo el territorio nacional;0
72;BANCO SANTANDER ARGENTINA S.A.;2026-06-30;PLAZOFIJOTRADICIONAL;PFTRAD60DARG;Pesos;500;60 días;Ventanilla de sucursal;17,11;Todo el territorio nacional;0
72;BANCO SANTANDER ARGENTINA S.A.;2026-06-30;PLAZOFIJOUVA;PFUVA;UVA;500;180 días;Home banking;,00;Todo el territorio nacional;0
72;BANCO SANTANDER ARGENTINA S.A.;2026-06-30;PLAZOFIJOTRADICIONAL;PFTRAD90DUSD;Dólares estadounidenses;500;90 días;Home banking;,05;Todo el territorio nacional;0
72;BANCO SANTANDER ARGENTINA S.A.;2026-06-30;PLAZOFIJOTRADICIONAL;PFTRAD180DARG;Pesos;500;180 días;Ventanilla de sucursal;16,65;Todo el territorio nacional;0
72;BANCO SANTANDER ARGENTINA S.A.;2026-06-30;PLAZOFIJOUVA;PFUVA;UVA;500;90 días;Ventanilla de sucursal;,00;Todo el territorio nacional;0
72;BANCO SANTANDER ARGENTINA S.A.;2026-06-30;PLAZOFIJOTRADICIONAL;PFTRAD365DUSD;Dólares estadounidenses;500;360 días o más;Línea telefónica;,05;Todo el territorio nacional;0
72;BANCO SANTANDER ARGENTINA S.A.;2026-06-30;PLAZOFIJOTRADICIONAL;PFTRAD30DUSD;Dólares estadounidenses;500;30 días;Home banking;,05;Todo el territorio nacional;0
72;BANCO SANTANDER ARGENTINA S.A.;2026-06-30;PLAZOFIJOTRADICIONAL;PFTRAD60DUSD;Dólares estadounidenses;500;60 días;Home banking;,05;Todo el territorio nacional;0
72;BANCO SANTANDER ARGENTINA S.A.;2026-06-30;PLAZOFIJOTRADICIONAL;PFTRAD180DUSD;Dólares estadounidenses;500;180 días;Home banking;,05;Todo el territorio nacional;0
72;BANCO SANTANDER ARGENTINA S.A.;2026-06-30;PLAZOFIJOTRADICIONAL;PFTRAD60DUSD;Dólares estadounidenses;500;60 días;Línea telefónica;,05;Todo el territorio nacional;0
72;BANCO SANTANDER ARGENTINA S.A.;2026-06-30;PLAZOFIJOTRADICIONAL;PFTRAD365DARG;Pesos;500;360 días o más;Línea telefónica;16,00;Todo el territorio nacional;0
72;BANCO SANTANDER ARGENTINA S.A.;2026-06-30;PLAZOFIJOTRADICIONAL;PFTRAD365DUSD;Dólares estadounidenses;500;360 días o más;Home banking;,05;Todo el territorio nacional;0
72;BANCO SANTANDER ARGENTINA S.A.;2026-06-30;PLAZOFIJOTRADICIONAL;PFTRAD180DUSD;Dólares estadounidenses;500;180 días;Línea telefónica;,05;Todo el territorio nacional;0
72;BANCO SANTANDER ARGENTINA S.A.;2026-06-30;PLAZOFIJOTRADICIONAL;PFTRAD365DARG;Pesos;500;360 días o más;Home banking;16,00;Todo el territorio nacional;0
72;BANCO SANTANDER ARGENTINA S.A.;2026-06-30;PLAZOFIJOPRECANCELABLE;PFPREC;Pesos;5000;360 días o más;Ventanilla de sucursal;18,50;Todo el territorio nacional;0
72;BANCO SANTANDER ARGENTINA S.A.;2026-06-30;PLAZOFIJOPRECANCELABLE;PFPREC;Pesos;5000;180 días;Ventanilla de sucursal;19,37;Todo el territorio nacional;0
72;BANCO SANTANDER ARGENTINA S.A.;2026-06-30;PLAZOFIJOUVA;PFUVA;UVA;500;360 días o más;Home banking;,00;Todo el territorio nacional;0
72;BANCO SANTANDER ARGENTINA S.A.;2026-06-30;PLAZOFIJOTRADICIONAL;PFTRAD365DARG;Pesos;500;360 días o más;Ventanilla de sucursal;16,00;Todo el territorio nacional;0
72;BANCO SANTANDER ARGENTINA S.A.;2026-06-30;PLAZOFIJOTRADICIONAL;PFTRAD90DARG;Pesos;500;90 días;Home banking;16,99;Todo el territorio nacional;0
72;BANCO SANTANDER ARGENTINA S.A.;2026-06-30;PLAZOFIJOTRADICIONAL;PFTRAD90DARG;Pesos;500;90 días;Ventanilla de sucursal;16,99;Todo el territorio nacional;0
72;BANCO SANTANDER ARGENTINA S.A.;2026-06-30;PLAZOFIJOUVA;PFUVA;UVA;500;360 días o más;Línea telefónica;,00;Todo el territorio nacional;0
72;BANCO SANTANDER ARGENTINA S.A.;2026-06-30;PLAZOFIJOPRECANCELABLE;PFPREC;Pesos;5000;180 días;Home banking;19,37;Todo el territorio nacional;0
72;BANCO SANTANDER ARGENTINA S.A.;2026-06-30;PLAZOFIJOTRADICIONAL;PFTRAD30DARG;Pesos;500;30 días;Ventanilla de sucursal;17,23;Todo el territorio nacional;0
72;BANCO SANTANDER ARGENTINA S.A.;2026-06-30;PLAZOFIJOTRADICIONAL;PFTRAD30DARG;Pesos;500;30 días;Home banking;17,23;Todo el territorio nacional;0
72;BANCO SANTANDER ARGENTINA S.A.;2026-06-30;PLAZOFIJOTRADICIONAL;PFTRAD180DARG;Pesos;500;180 días;Home banking;16,65;Todo el territorio nacional;0
72;BANCO SANTANDER ARGENTINA S.A.;2026-06-30;PLAZOFIJOTRADICIONAL;PFTRAD90DARG;Pesos;500;90 días;Línea telefónica;16,99;Todo el territorio nacional;0
72;BANCO SANTANDER ARGENTINA S.A.;2026-06-30;PLAZOFIJOTRADICIONAL;PFTRAD30DUSD;Dólares estadounidenses;500;30 días;Ventanilla de sucursal;,05;Todo el territorio nacional;0
72;BANCO SANTANDER ARGENTINA S.A.;2026-06-30;PLAZOFIJOTRADICIONAL;PFTRAD30DUSD;Dólares estadounidenses;500;30 días;Línea telefónica;,05;Todo el territorio nacional;0
72;BANCO SANTANDER ARGENTINA S.A.;2026-06-30;PLAZOFIJOTRADICIONAL;PFTRAD30DARG;Pesos;500;30 días;Línea telefónica;17,23;Todo el territorio nacional;0
72;BANCO SANTANDER ARGENTINA S.A.;2026-06-30;PLAZOFIJOTRADICIONAL;PFTRAD60DUSD;Dólares estadounidenses;500;60 días;Ventanilla de sucursal;,05;Todo el territorio nacional;0
72;BANCO SANTANDER ARGENTINA S.A.;2026-06-30;PLAZOFIJOUVA;PFUVA;UVA;500;90 días;Línea telefónica;,00;Todo el territorio nacional;0
72;BANCO SANTANDER ARGENTINA S.A.;2026-06-30;PLAZOFIJOTRADICIONAL;PFTRAD90DUSD;Dólares estadounidenses;500;90 días;Línea telefónica;,05;Todo el territorio nacional;0
72;BANCO SANTANDER ARGENTINA S.A.;2026-06-30;PLAZOFIJOPRECANCELABLE;PFPREC;Pesos;5000;360 días o más;Línea telefónica;18,50;Todo el territorio nacional;
72;BANCO SANTANDER ARGENTINA S.A.;2026-06-30;PLAZOFIJOUVA;PFUVA;UVA;500;360 días o más;Ventanilla de sucursal;,00;Todo el territorio nacional;0
72;BANCO SANTANDER ARGENTINA S.A.;2026-06-30;PLAZOFIJOUVA;PFUVA;UVA;500;180 días;Línea telefónica;,00;Todo el territorio nacional;0
83;BANCO DEL CHUBUT S.A.;2026-06-30;PLAZO FIJO PRIVADO EN PESOS 90 DIAS;PF HB - ATM;Pesos;5000001;90 días;Electrónico;23,75;Ciudad Autónoma de Buenos Aires;
83;BANCO DEL CHUBUT S.A.;2026-06-30;PLAZO FIJO PRIVADO EN PESOS 30 DIAS;PF HB - ATM;Pesos;5000001;30 días;Electrónico;21,34;Provincia del Chubut;
83;BANCO DEL CHUBUT S.A.;2026-06-30;PLAZO FIJO PRIVADO EN PESOS 30 DIAS;PF HB - ATM;Pesos;1000;30 días;Electrónico;20,15;Provincia del Chubut;
83;BANCO DEL CHUBUT S.A.;2026-06-30;PLAZO FIJO PRIVADO EN PESOS 90 DIAS;PF HB - ATM;Pesos;1000;90 días;Electrónico;22,54;Provincia de Río Negro;
83;BANCO DEL CHUBUT S.A.;2026-06-30;PLAZO FIJO PRIVADO EN PESOS 90 DIAS;PF HB - ATM;Pesos;5000001;90 días;Electrónico;23,75;Provincia de Río Negro;
83;BANCO DEL CHUBUT S.A.;2026-06-30;PLAZO FIJO PRIVADO EN PESOS 90 DIAS;PF HB - ATM;Pesos;1000;90 días;Electrónico;22,54;Ciudad Autónoma de Buenos Aires;
83;BANCO DEL CHUBUT S.A.;2026-06-30;PLAZO FIJO CON OPCION DE CANC ANTICIPADA UVA 180 DIAS;PF UVA;UVA;1000;180 días;Ventanilla de sucursal;1,00;Provincia de Río Negro;
83;BANCO DEL CHUBUT S.A.;2026-06-30;PLAZO FIJO PRIVADO EN PESOS 30 DIAS;PF HB - ATM;Pesos;1000;30 días;Electrónico;20,15;Provincia de Río Negro;
83;BANCO DEL CHUBUT S.A.;2026-06-30;PLAZO FIJO CON OPCION DE CANC ANTICIPADA UVA 90 DIAS;PF UVA;UVA;1000;180 días;Ventanilla de sucursal;1,00;Provincia de Río Negro;
83;BANCO DEL CHUBUT S.A.;2026-06-30;PLAZO FIJO PRIVADO EN PESOS 30 DIAS;PF HB - ATM;Pesos;1000;30 días;Electrónico;20,15;Ciudad Autónoma de Buenos Aires;
83;BANCO DEL CHUBUT S.A.;2026-06-30;PLAZO FIJO PRIVADO EN PESOS 30 DIAS;PF HB - ATM;Pesos;5000001;30 días;Electrónico;21,34;Provincia de Río Negro;
83;BANCO DEL CHUBUT S.A.;2026-06-30;PLAZO FIJO PRIVADO EN PESOS 30 DIAS;PF HB - ATM;Pesos;5000001;30 días;Electrónico;21,34;Ciudad Autónoma de Buenos Aires;
83;BANCO DEL CHUBUT S.A.;2026-06-30;PLAZO FIJO PRIVADO EN PESOS 90 DIAS;PF HB - ATM;Pesos;1000;90 días;Electrónico;22,54;Provincia del Chubut;
83;BANCO DEL CHUBUT S.A.;2026-06-30;PLAZO FIJO CON OPCION DE CANC ANTICIPADA UVA 180 DIAS;PF UVA;UVA;1000;180 días;Ventanilla de sucursal;1,00;Ciudad Autónoma de Buenos Aires;
83;BANCO DEL CHUBUT S.A.;2026-06-30;PLAZO FIJO CON OPCION DE CANC ANTICIPADA UVA 180 DIAS;PF UVA;UVA;1000;180 días;Ventanilla de sucursal;1,00;Provincia del Chubut;
83;BANCO DEL CHUBUT S.A.;2026-06-30;PLAZO FIJO PRIVADO EN PESOS 90 DIAS;PF HB - ATM;Pesos;5000001;90 días;Electrónico;23,75;Provincia del Chubut;
83;BANCO DEL CHUBUT S.A.;2026-06-30;PLAZO FIJO CON OPCION DE CANC ANTICIPADA UVA 90 DIAS;PF UVA;UVA;1000;180 días;Ventanilla de sucursal;1,00;Provincia del Chubut;
83;BANCO DEL CHUBUT S.A.;2026-06-30;PLAZO FIJO CON OPCION DE CANC ANTICIPADA UVA 90 DIAS;PF UVA;UVA;1000;180 días;Ventanilla de sucursal;1,00;Ciudad Autónoma de Buenos Aires;
86;BANCO DE SANTA CRUZ S.A.;2026-06-30;PLAZOS FIJOS A TASA UVA;PLAZOS FIJOS UVA;UVA;25000;90 días;Todos los canales;2,02;Todo el territorio nacional;
86;BANCO DE SANTA CRUZ S.A.;2026-06-30;PLAZO FIJO TRADICIONAL;PLAZO FIJO TRADICIONAL;Pesos;5000;30 días;Home banking;18,98;Todo el territorio nacional;
86;BANCO DE SANTA CRUZ S.A.;2026-06-30;PLAZO FIJO A TASA UVA;PLAZO FIJO UVA;UVA;25000;180 días;Todos los canales;2,02;Todo el territorio nacional;
86;BANCO DE SANTA CRUZ S.A.;2026-06-30;PLAZO FIJO TRADICIONAL;PLAZO FIJO TRADICIONAL;Pesos;5000;90 días;Home banking;18,69;Todo el territorio nacional;
93;BANCO DE LA PAMPA SA;2026-06-30;PLAZO FIJO RENTA MENSUAL;PF RENTA MENSUAL;Pesos;1000;180 días;Ventanilla de sucursal;14,49;Todo el territorio nacional;PAGO DE INTERESES CADA 30 DIAS
93;BANCO DE LA PAMPA SA;2026-06-30;PLAZO FIJO POR CANALES ELECTRONICOS;PF ELECTRONICOS;Pesos;1000;30 días;Cajero automático;19,56;Todo el territorio nacional;
93;BANCO DE LA PAMPA SA;2026-06-30;PLAZO FIJO EN DOLARES;PF EN DOLARES;Dólares estadounidenses;1000;30 días;Ventanilla de sucursal;1,00;Todo el territorio nacional;
93;BANCO DE LA PAMPA SA;2026-06-30;PLAZO FIJO POR CANALES ELECTRONICOS;PF ELECTRONICOS;Pesos;1000;30 días;Home banking;19,56;Todo el territorio nacional;
93;BANCO DE LA PAMPA SA;2026-06-30;PLAZO FIJO FLEXIBLE RENTA PROTEGIDA;PF FLEX RENTA PROT;Pesos;10000;180 días;Ventanilla de sucursal;8,30;Todo el territorio nacional;PUEDE PRECANCELARSE A PARTIR DEL DIA 31
93;BANCO DE LA PAMPA SA;2026-06-30;PLAZO FIJO FLEXIBLE MAXIRENTA;PF FLEX MAXIRENTA;Pesos;10000;180 días;Ventanilla de sucursal;10,47;Todo el territorio nacional;PUEDE PRECANCELARSE A PARTIR DEL DIA 31
93;BANCO DE LA PAMPA SA;2026-06-30;PLAZO FIJO EN PESOS 90 D;PF PESOS 90 D;Pesos;1000;90 días;Ventanilla de sucursal;13,65;Todo el territorio nacional;
